OBJECTID,Date_Start,Date_Finish,Acres,FireCause,Lat,Long,DispatchCenterID,PredominantFuelGroup,State,Fire_Duration,Fire_Duration_Group,Address
1891,7/29/2020,8/19/2020,53,Natural,33.49245,-108.4188,NMSDC,Grass,US-NM,21,Group-2,"T Bar Tank, T Bar Can Road, Catron County, New Mexico, United States"
1893,5/26/2020,6/18/2020,4,Human,33.33284,-110.4552,AZPHC,Grass,US-AZ,23,Group-2,"Indian Route 170, Peridot, Gila County, Arizona, 85542, United States"
1894,10/14/2020,10/18/2020,0.003242159,Unknown,35.8673,-121.4279,CALPCC,Grass,US-CA,4,Group-1,"Cabrillo Highway, Gorda, Monterey County, California, 93920, United States"
1897,9/26/2020,9/30/2020,0.019265333,Human,42.60002,-111.2032,IDEIC,Timber,US-ID,4,Group-1,"Caribou County, Idaho, United States"
1898,11/23/2020,11/30/2020,0.1,Human,35.50224,-96.17742,ARAOC,Grass,US-OK,7,Group-1,"104001, Fulsom Road, Okfuskee County, Oklahoma, 74859, United States"
1902,6/21/2020,6/24/2020,4,Human,33.10177,-111.4944,AZTDC,Unknown,US-AZ,3,Group-1,"6759, Javalina Way, Magic Ranch, Pinal County, Arizona, 85132, United States"
1903,9/24/2020,9/26/2020,4,Human,44.03513101,-103.0360372,SDGPC,Grass,US-SD,2,Group-1,"Pennington County, South Dakota, United States"
1906,7/6/2020,7/9/2020,4,Natural,42.64491,-106.3787,WYCPC,Brush,US-WY,3,Group-1,"Natrona County, Wyoming, United States"
1909,6/3/2020,6/9/2020,8.615027575,Unknown,29.10576,-103.4932,NMADC,Grass-Shrub,US-TX,6,Group-1,"Brewster County, Texas, United States"
1914,7/12/2020,7/13/2020,4,Natural,35.54538,-111.6499,AZFDC,Unknown,US-AZ,1,Group-1,"Coconino County, Arizona, United States"
1915,3/14/2021,3/26/2021,0.1,Human,47.57047697,-93.74467364,MNMNCC,Slash,US-MN,12,Group-1,"Itasca County, Minnesota, United States"
1917,8/1/2020,8/4/2020,4,Natural,33.5195,-110.420167,AZPHC,Grass-Shrub,US-AZ,3,Group-1,"Gila County, Arizona, United States"
1919,3/8/2021,3/12/2021,387,Human,33.86297,-111.3127,AZPHC,Unknown,US-AZ,4,Group-1,"46443, Claypool-Jakes Corner Highway, Punkin Center, Gila County, Arizona, 85553, United States"
1922,3/18/2021,4/4/2021,2,Unknown,47.57047697,-93.74467364,MNMNCC,Grass,US-MN,17,Group-2,"Itasca County, Minnesota, United States"
1926,8/26/2020,8/27/2020,3.033277533,Natural,39.682335,-111.07263,UTMFC,Brush,US-UT,1,Group-1,"Carbon County, Utah, United States"
1927,11/17/2020,11/21/2020,512.1441955,Unknown,39.49852,-119.8579,NVSFC,Unknown,US-NV,4,Group-1,"3375, Thornhill Drive, Reno, Washoe County, Nevada, 89509, United States"
1928,8/16/2020,10/1/2020,20.61515939,Unknown,37.4239,-121.5677,CASCCC,Unknown,US-CA,46,Group-4,"Santa Clara County, California, United States"
1930,12/1/2020,12/4/2020,0.2,Human,33.54541433,-111.45097,AZFDC,Grass-Shrub,US-AZ,3,Group-1,"Apache Trail, Maricopa County, Arizona, United States"
1932,7/23/2020,8/6/2020,3.4,Human,42.86195,-106.4347,WYCPC,Grass-Shrub,US-WY,,,"1166, 6 Mile Road, Air Base Acres, Natrona County, Wyoming, 82604, United States"
1938,6/23/2020,7/12/2020,0.009772046,Human,35.87913,-115.2154,NVLIC,Grass,US-NV,19,Group-2,"Clark County, Nevada, United States"
1939,8/15/2020,8/18/2020,4,Human,31.35123,-110.5444,AZTDC,Unknown,US-AZ,3,Group-1,"Forest Road 5702, Santa Cruz County, Arizona, United States"
1944,7/25/2020,7/27/2020,4,Human,32.6914,-109.7499,AZTDC,Unknown,US-AZ,2,Group-1,"West Swift Trail, Swift Trail Junction, Graham County, Arizona, United States"
1945,3/9/2020,3/11/2020,113.9,Human,41.03948186,-87.10185229,INIIC,Unknown,US-IN,2,Group-1,"200N, Jasper County, Indiana, 47978, United States"
1946,11/11/2020,11/21/2020,0.3,Unknown,30.46468,-95.67703,TXTIC,Timber,US-TX,10,Group-1,"32, Lake Mount Pleasant Road, Montgomery County, Texas, 77356, United States"
1949,3/10/2021,3/16/2021,10.33,Human,39.617261,-82.163642,PAMACC,Timber,US-OH,6,Group-1,"6807, Bohemian Road Southeast, Ludington, Perry County, Ohio, 43730, United States"
1951,10/25/2020,10/26/2020,4,Human,41.066867,-120.573107,CASIFC,Grass-Shrub,US-CA,1,Group-1,"Meadow Trail, Lassen County, California, United States"
1952,9/21/2020,10/5/2020,0.256932041,Human,36.71914,-114.2318,NVLIC,Grass,US-NV,14,Group-1,"Gold Butte Road, Bunkerville, Clark County, Nevada, United States"
1954,9/12/2020,9/25/2020,4,Human,35.01368,-114.6447,NVLIC,Unknown,US-NV,13,Group-1,"Aztec Road, Clark County, Nevada, United States"
1955,7/5/2020,7/19/2020,4,Unknown,37.47321024,-119.7222323,CALACC,Grass,US-CA,,,"5790, Creel Road, Ponderosa Basin, Mariposa County, California, 95338, United States"
1957,8/1/2020,8/9/2020,160,Human,34.54972,-118.6161,CAANCC,Grass-Shrub,US-CA,8,Group-1,"Los Angeles County, California, United States"
1960,8/19/2020,9/2/2020,167215.9563,Natural,36.16972,-118.4587,CAKRCC,Unknown,US-CA,,,"Tulare County, California, United States"
1961,6/11/2020,6/20/2020,4,Natural,42.88645,-121.4367,ORLFC,Timber,US-OR,9,Group-1,"Klamath County, Oregon, United States"
1963,5/22/2020,5/23/2020,2.899707237,Human,36.88721,-113.9286,UTCDC,Grass-Shrub,US-AZ,1,Group-1,"Littlefield, Beaver Dam, Mohave County, Arizona, 86432, United States"
1964,6/29/2020,7/2/2020,5.250417765,Human,44.03513101,-103.0360372,SDGPC,Grass,US-SD,3,Group-1,"Pennington County, South Dakota, United States"
1967,7/7/2020,7/11/2020,4,Natural,44.91215,-119.8891,ORJDCC,Unknown,US-OR,4,Group-1,"20593, Winlock Road, Wheeler County, Oregon, 97830, United States"
1968,3/6/2021,4/1/2021,175,Human,47.57047697,-93.74467364,MNMNCC,Grass,US-MN,26,Group-2,"Itasca County, Minnesota, United States"
1971,6/25/2020,6/26/2020,0.041951618,Human,36.12597,-115.4725,NVLIC,Grass,US-NV,1,Group-1,"Pine Creek Trail, Clark County, Nevada, United States"
1972,7/5/2020,7/11/2020,4,Unknown,47.7583,-91.78368,MNMNCC,Timber,US-MN,6,Group-1,"Lake County, Minnesota, United States"
1974,8/25/2020,8/26/2020,1.959884,Human,42.6151,-114.3827,IDSCC,Grass,US-ID,1,Group-1,"Jerome County, Idaho, United States"
1976,6/10/2020,6/19/2020,4.908028877,Human,36.4405,-114.9658,NVLIC,Grass-Shrub,US-NV,9,Group-1,"Frozen Toe Road, Clark County, Nevada, United States"
1978,3/8/2020,3/22/2020,80.26,Human,37.14188632,-83.96504944,KYKIC,Timber,US-KY,,,"Nineva Road, Laurel County, Kentucky, 40741, United States"
1979,1/20/2021,2/3/2021,1,Unknown,36.6301,-92.72849,MOMOC,Unknown,US-MO,,,"United States Forest Service Fire Tower, Missouri Route 95, Summit City, Ozark County, Missouri, 65761, United States"
1980,8/5/2020,9/30/2020,112,Natural,44.71447,-119.052,ORJDCC,Unknown,US-OR,56,Group-4,"Grant County, Oregon, United States"
1985,7/18/2020,7/25/2020,0.713985189,Human,36.44431,-114.9601,NVLIC,Grass,US-NV,7,Group-1,"Great Basin Highway, Clark County, Nevada, 89037, United States"
1987,10/4/2020,10/8/2020,2.29425242,Human,39.24749,-112.1181,UTRFC,Grass,US-UT,4,Group-1,"I 15, Scipio, Juab County, Utah, 84656, United States"
1993,6/16/2020,6/22/2020,6.4,Human,34.86189,-98.38206,ARAOC,Grass-Shrub,US-OK,6,Group-1,"US 62;US 281, Caddo County, Oklahoma, 73006, United States"
1995,8/6/2020,8/9/2020,0.057803113,Human,36.20787,-115.3481,NVLIC,Unknown,US-NV,3,Group-1,"West Lake Mead Boulevard, Las Vegas, Clark County, Nevada, 89138, United States"
1996,7/10/2020,7/12/2020,4,Human,32.8775,-111.8236,AZTDC,Unknown,US-AZ,2,Group-1,"Gila Bend Highway, Pinal County, Arizona, United States"
2000,7/16/2020,8/3/2020,438.2037802,Human,40.46147,-111.4262,UTNUC,Unknown,US-UT,18,Group-2,"Big Hollow Road, Daniel, Wasatch County, Utah, United States"
2001,6/13/2020,6/15/2020,14.81577521,Human,33.4363,-110.7573,AZPHC,Unknown,US-AZ,2,Group-1,"Copper Hills Road, Globe, Gila County, Arizona, 85501, United States"
2002,9/4/2020,9/8/2020,4,Human,33.11058,-111.3656,AZTDC,Unknown,US-AZ,4,Group-1,"AZ 79, Pinal County, Arizona, United States"
2006,8/21/2020,9/4/2020,4,Natural,47.51643,-108.50195,MTLEC,Grass,US-MT,,,"Fergus County, Montana, United States"
2009,6/12/2020,6/26/2020,4,Undetermined,34.14302,-118.7381,CALACC,Grass-Shrub,US-CA,,,"Ventura Freeway, Agoura, Agoura Hills, California, 91301, United States"
2010,8/28/2020,9/10/2020,4,Natural,44.88648,-106.1438,WYCPC,Grass-Shrub,US-WY,13,Group-1,"Sheridan County, Wyoming, United States"
2011,6/28/2020,7/1/2020,466.9144604,Human,40.45193,-111.8702,UTNUC,Unknown,US-UT,3,Group-1,"Sensei, Lehi, Utah County, Utah, 84020-5626, United States"
2013,6/13/2020,6/26/2020,4,Human,46.5407855,-108.3748779,MTMCC,Grass-Shrub,US-MT,13,Group-1,"572, North Gage Road, Musselshell County, Montana, 59072, United States"
2016,7/3/2020,7/21/2020,52.92535917,Unknown,31.27526,-93.90244,TXTIC,Timber,US-TX,18,Group-2,"FS 152, Sabine County, Texas, United States"
2017,6/7/2020,6/9/2020,0.915758995,Human,36.43749,-114.9594,NVLIC,Grass,US-NV,2,Group-1,"Great Basin Highway, Clark County, Nevada, 89037, United States"
2019,7/17/2020,7/25/2020,0.605669796,Human,41.371,-111.8697,UTNUC,Brush,US-UT,8,Group-1,"Avon Road, Weber County, Utah, United States"
2021,8/19/2020,3/10/2021,124527.3089,Unknown,36.11938,-121.5997,CALPCC,Unknown,US-CA,203,Group-5,"Monterey County, California, United States"
2022,7/27/2020,8/3/2020,6.337078832,Natural,37.63102,-114.0306,UTCDC,Grass-Shrub,US-UT,7,Group-1,"Crestline Road, Washington County, Utah, United States"
2029,7/8/2020,7/12/2020,63.63566175,Human,35.87954,-115.2128,NVLIC,Grass-Shrub,US-NV,4,Group-1,"Clark County, Nevada, United States"
2030,9/7/2020,9/18/2020,1.131175664,Human,38.16499,-116.4493,NVCNC,Brush,US-NV,11,Group-1,"US 6, Warm Springs, Nye County, Nevada, United States"
2031,7/18/2020,7/19/2020,2.6,Human,42.92759,-106.9111,WYCPC,Grass-Shrub,US-WY,1,Group-1,"Oil Camp Road, Natrona County, Wyoming, United States"
2035,9/17/2020,9/20/2020,4,Human,41.317222,-120.507177,CASIFC,Grass-Shrub,US-CA,3,Group-1,"US 395, Likely, Modoc County, California, United States"
2036,2/4/2020,2/18/2020,4,Human,25.3974,-80.58508,FLFIC,Timber,US-FL,,,"Ernest F. Coe Visitor Center, 40001, Ingraham Highway, Homestead, Miami-Dade County, Florida, 33034, United States"
2038,7/21/2020,7/25/2020,60,Natural,44.20762,-105.8472,WYCPC,Grass-Shrub,US-WY,4,Group-1,"2, Kingsbury Road, Campbell County, Wyoming, 82716, United States"
2040,8/21/2020,9/4/2020,0.1,Unknown,33.743928,-116.251482,CARRCC,Unknown,US-CA,,,"81026, Avenue 42, Indio, Riverside County, California, 92203, United States"
2046,9/6/2020,9/7/2020,0.134059137,Human,35.42067,-114.1987,NVLIC,Grass,US-NV,1,Group-1,"Emerson Avenue, Chloride, Mohave County, Arizona, 86431, United States"
2049,11/5/2020,11/19/2020,4,Unknown,32.635143,-116.635751,CAMVIC,Unknown,US-CA,,,"1520, Round Potrero Road, San Diego County, California, 91963, United States"
2054,9/19/2020,10/3/2020,1,Unknown,34.09495,-117.1822,CASBCC,Grass,US-CA,,,"Orange Street, Redlands, San Bernardino County, California, 92346-9998, United States"
2055,3/1/2021,3/3/2021,230.17,Unknown,47.350278,-103.152222,NDNDC,Unknown,US-ND,2,Group-1,"McKenzie County, North Dakota, 58854, United States"
2059,8/17/2020,8/23/2020,0.1,Natural,44.88842,-120.1156,ORJDCC,Unknown,US-OR,6,Group-1,"Rowe Creek Road, Wheeler County, Oregon, United States"
2063,7/13/2020,7/27/2020,4,Unknown,34.03296,-118.74289,CALACC,Brush,US-CA,,,"26030, Pacific Coast Highway, Malibu, California, 90265, United States"
2064,8/3/2020,8/9/2020,4,Human,39.30133,-120.5988,CAGVCC,Brush,US-CA,6,Group-1,"Lodgepole, Texas Hill/Mears Road, Placer County, California, United States"
2065,4/6/2020,4/7/2020,28.7,Human,47.29765,-105.3209,MTMCC,Grass,US-MT,1,Group-1,"3282, MT 200 S, Lindsay, Dawson County, Montana, 59339, United States"
2066,8/20/2020,8/28/2020,4,Natural,35.15891,-113.6779,AZPDC,Unknown,US-AZ,8,Group-1,"Purple Heart Trail, Mohave County, Arizona, United States"
2067,8/5/2020,8/6/2020,0.1,Natural,33.96271,-109.5016,AZSDC,Timber,US-AZ,1,Group-1,"AZ 273, Apache County, Arizona, United States"
2068,12/7/2020,12/10/2020,4,Human,31.67655,-111.5284,AZTDC,Unknown,US-AZ,3,Group-1,"Santa Margarita Road, Pima County, Arizona, United States"
2069,5/17/2020,5/19/2020,27.8,Human,47.57047697,-93.74467364,MNMNCC,Unknown,US-MN,2,Group-1,"Itasca County, Minnesota, United States"
2070,7/7/2020,7/9/2020,4,Natural,25.48777,-80.87402,FLFIC,Grass,US-FL,2,Group-1,"Monroe County, Florida, United States"
2073,8/29/2020,10/26/2020,9.273111783,Natural,33.80811,-109.7099,AZSDC,Unknown,US-AZ,58,Group-4,"60A, Apache County, Arizona, United States"
2077,8/30/2020,10/14/2020,58.08870438,Natural,33.11211,-110.3678,AZPHC,Grass-Shrub,US-AZ,45,Group-4,"Graham County, Arizona, United States"
2078,11/14/2020,12/3/2020,4,Human,33.3664,-110.4867,AZPHC,Grass-Shrub,US-AZ,19,Group-2,"Maltazan Tank, Indian Route 6, San Carlos, Gila County, Arizona, United States"
2080,8/28/2020,9/3/2020,0.070574087,Human,45.96593,-121.6748,WACCC,Timber,US-WA,6,Group-1,"Carson Guler Road, Skamania County, Washington, United States"
2081,8/15/2020,8/20/2020,0.1,Human,33.14124,-110.1284,AZPHC,Grass-Shrub,US-AZ,5,Group-1,"Indian Route 105, Bylas, Graham County, Arizona, United States"
2086,7/17/2020,7/28/2020,2.84944959,Human,41.98032,-117.6734,NVCNC,Grass,US-NV,11,Group-1,"Humboldt County, Nevada, United States"
2090,2/17/2020,2/17/2020,1,Human,37.64308636,-79.76722545,VAVIC,Grass,US-VA,0,Group-1,"12711, Narrow Passage Road, Eagle Rock, Botetourt County, Virginia, 24085, United States"
2092,9/17/2020,7/1/2021,176878,Unknown,41.15304,-106.4674,WYCPC,Slash,US-WY,287,Group-5,"Carbon County, Wyoming, United States"
2093,9/2/2020,9/2/2020,4,Human,45.253783,-69.445469,NHNEC,Grass,US-ME,0,Group-1,"319, Steward Road, Monson, Maine, 04464, United States"
2094,2/28/2021,5/3/2021,4,Human,34.9831,-110.5538,AZSDC,Unknown,US-AZ,64,Group-5,"Purple Heart Trail, Hibbard, Navajo County, Arizona, United States"
2096,7/2/2020,7/13/2020,516.6148888,Natural,36.99981,-102.0173,COPBC,Unknown,US-CO,11,Group-1,"Morton County, Kansas, United States"
2097,2/26/2020,3/11/2020,4,Human,37.47321024,-119.7222323,CAVNCC,Timber,US-CA,,,"5790, Creel Road, Ponderosa Basin, Mariposa County, California, 95338, United States"
2101,11/6/2020,11/16/2020,225.7,Human,47.57047697,-93.74467364,MNMNCC,Unknown,US-MN,10,Group-1,"Itasca County, Minnesota, United States"
2102,8/19/2020,8/30/2020,92.22572126,Natural,44.86673,-119.3638,ORJDCC,Unknown,US-OR,11,Group-1,"Grant County, Oregon, United States"
2105,1/19/2021,5/4/2021,30,Human,38.70495,-120.414417,CACICC,Unknown,US-CA,105,Group-5,"Mormon Emigrant Trail, El Dorado County, California, United States"
2106,8/19/2020,8/23/2020,1,Natural,45.24914,-119.3194,ORJDCC,Unknown,US-OR,4,Group-1,"Elk Trail Lane, Morrow County, Oregon, United States"
2107,9/11/2020,9/23/2020,15.96473591,Human,43.67134637,-120.1347892,OREIC,Timber,US-OR,12,Group-1,"Deschutes County, Oregon, United States"
2108,6/9/2020,7/23/2020,4,Human,33.36209,-110.6095,AZPHC,Grass,US-AZ,44,Group-3,"Gila County, Arizona, United States"
2110,8/6/2020,8/20/2020,344.3268115,Human,47.26405595,-119.8700216,WAYAC,Unknown,US-WA,,,"Martin Road Northwest, Grant County, Washington, United States"
2111,1/20/2021,1/21/2021,10,Human,34.3224,-87.3255,ALAIC,Unknown,US-AL,1,Group-1,"2172, Beech Creek Road, Lawrence County, Alabama, 35650, United States"
2112,9/23/2020,10/7/2020,0.097720365,Unknown,42.86276,-106.5046,WYCPC,Grass-Shrub,US-WY,,,"9922, Zero Road, Natrona County, Wyoming, 82604, United States"
2114,8/25/2020,9/10/2020,16.39260095,Natural,38.00924,-105.074,COPBC,Timber,US-CO,16,Group-2,"Aspen Acres Campground, Greenhorn Highway, San Isabel, Custer County, Colorado, United States"
2115,8/17/2020,8/28/2020,63.36925835,Natural,40.60416,-118.1108,NVCNC,Grass,US-NV,11,Group-1,"Pershing County, Nevada, United States"
2119,5/28/2020,6/2/2020,0.180638263,Human,36.50122,-114.9482,NVLIC,Grass,US-NV,5,Group-1,"Great Basin Highway, Clark County, Nevada, 89037, United States"
2120,6/10/2020,2/27/2021,4,Human,37.47321024,-119.7222323,CALACC,Brush,US-CA,262,Group-5,"5790, Creel Road, Ponderosa Basin, Mariposa County, California, 95338, United States"
2121,7/5/2020,7/7/2020,0.327415925,Human,36.44452,-114.9607,NVLIC,Grass,US-NV,2,Group-1,"Great Basin Highway, Clark County, Nevada, 89037, United States"
2126,7/19/2020,7/28/2020,113.5139941,Natural,40.46852,-110.3887,UTUBC,Grass-Shrub,US-UT,9,Group-1,"Moon Lake Road, Duchesne County, Utah, United States"
2127,3/18/2021,3/19/2021,0.8,Human,47.57047697,-93.74467364,MNMNCC,Grass,US-MN,1,Group-1,"Itasca County, Minnesota, United States"
2128,8/9/2020,8/15/2020,2.401135299,Natural,33.65961,-110.4496,AZPHC,Grass-Shrub,US-AZ,6,Group-1,"Gila County, Arizona, United States"
2132,8/14/2020,8/17/2020,0.008867714,Human,42.56043,-106.8681,WYCPC,Unknown,US-WY,3,Group-1,"WY 220, Natrona County, Wyoming, United States"
2134,11/11/2020,11/22/2020,28.7,Human,35.02716,-96.7252,ARAOC,Timber,US-OK,11,Group-1,"CR E1370, Seminole County, Oklahoma, United States"
2135,3/13/2021,3/17/2021,4,Human,47.57047697,-93.74467364,MNMNCC,Grass,US-MN,4,Group-1,"Itasca County, Minnesota, United States"
2137,7/7/2020,7/9/2020,4,Human,41.678056,-87.008611,INIIC,Grass,US-IN,2,Group-1,"Kemil Beach Access Parking, East State Park Boundary Road, Beverly Shores, Porter County, Indiana, 46301, United States"
2139,6/24/2020,7/15/2020,22.03481318,Natural,39.63751,-119.9478,NVSFC,Brush,US-NV,21,Group-2,"US Highway 395 Frontage Road North, Reno, Washoe County, Nevada, 89508, United States"
2141,7/31/2020,3/10/2021,138845.7044,Unknown,39.302,-108.542,COGJC,Grass-Shrub,US-CO,222,Group-5,"Mesa County, Colorado, United States"
2142,8/29/2020,9/2/2020,3.621246571,Human,40.32114,-112.287,UTNUC,Unknown,US-UT,4,Group-1,"West SR 73, Utah County, Utah, United States"
2143,7/26/2020,7/30/2020,0.1,Human,42.55676,-121.8838,ORLFC,Timber,US-OR,4,Group-1,"Train Mountain, The Dalles-California Highway, Chiloquin, Klamath County, Oregon, United States"
2145,7/31/2020,8/3/2020,0.083,Unknown,44.34662,-119.0517,ORJDCC,Unknown,US-OR,3,Group-1,"Grant County, Oregon, United States"
2149,8/2/2020,8/4/2020,0.1,Human,42.16674,-114.1653,IDSCC,Grass,US-ID,2,Group-1,"Cassia County, Idaho, United States"
2150,5/22/2020,5/27/2020,4,Human,39.05619,-105.0182,COPBC,Brush,US-CO,5,Group-1,"Mount Herman Road, El Paso County, Colorado, United States"
2155,7/7/2020,7/12/2020,4,Natural,47.57047697,-93.74467364,MNMNCC,Timber,US-MN,5,Group-1,"Itasca County, Minnesota, United States"
2156,6/22/2020,7/12/2020,0.528960114,Human,36.00502,-115.6168,NVLIC,Grass,US-NV,20,Group-2,"Pahrump Valley Highway, Clark County, Nevada, United States"
2159,7/3/2020,7/6/2020,0.3,Human,35.23299,-98.27131,ARAOC,Timber,US-OK,3,Group-1,"20100, CR E1230, Caddo County, Oklahoma, 73042, United States"
2160,5/10/2020,5/18/2020,308.4,Human,47.57047697,-93.74467364,MNMNCC,Unknown,US-MN,8,Group-1,"Itasca County, Minnesota, United States"
2161,6/9/2020,6/23/2020,4,Unknown,37.47321024,-119.7222323,CALACC,Grass-Shrub,US-CA,,,"5790, Creel Road, Ponderosa Basin, Mariposa County, California, 95338, United States"
2162,6/24/2020,7/12/2020,0.829253658,Natural,39.3734,-114.915383,NVECC,Brush,US-NV,18,Group-2,"Lackawanna Road, White Pine County, Nevada, 89301, United States"
2163,8/8/2020,8/22/2020,884.1266541,Human,47.26405595,-119.8700216,WAYAC,Unknown,US-WA,,,"Martin Road Northwest, Grant County, Washington, United States"
2169,11/7/2020,11/11/2020,27.2,Human,47.57047697,-93.74467364,MNMNCC,Unknown,US-MN,4,Group-1,"Itasca County, Minnesota, United States"
2170,6/8/2020,6/9/2020,0.810349937,Human,36.0231,-115.5271,NVLIC,Grass,US-NV,1,Group-1,"Pahrump Valley Highway, Clark County, Nevada, United States"
2173,9/5/2020,9/19/2020,4,Unknown,44.78633,-121.0027,ORCOC,Grass,US-OR,14,Group-1,"Jefferson County, Oregon, United States"
2174,5/30/2020,6/8/2020,1.199316237,Natural,38.5933,-119.6489,NVSFC,Grass-Shrub,US-CA,9,Group-1,"Alpine County, California, United States"
2177,10/21/2020,10/21/2020,4,Unknown,34.0934,-118.60576,CALACC,Grass-Shrub,US-CA,0,Group-1,"Topanga Elementary School, Topanga School Road, Topanga, California, 90290, United States"
2180,6/23/2020,6/27/2020,28.85320861,Natural,37.00878,-102.8384,COPBC,Unknown,US-CO,4,Group-1,"Baca County, Colorado, 81073, United States"
2181,8/11/2020,8/12/2020,4,Human,45.253783,-69.445469,NHNEC,Timber,US-ME,1,Group-1,"319, Steward Road, Monson, Maine, 04464, United States"
2184,7/30/2020,8/20/2020,87.45934847,Human,48.66865,-119.6926,WANEC,Unknown,US-WA,21,Group-2,"Sinlahekin Road, Okanogan County, Washington, United States"
2187,9/21/2020,9/21/2020,4,Unknown,45.253783,-69.445469,NHNEC,Grass,US-ME,0,Group-1,"319, Steward Road, Monson, Maine, 04464, United States"
2188,8/17/2020,8/31/2020,0.631522232,Unknown,39.527383,-121.281667,CABTCC,Unknown,US-CA,,,"174, Old Forbestown Road, Old Forbestown, Forbestown, Butte County, California, 95966, United States"
2192,9/6/2020,9/6/2020,4,Human,44.03513101,-103.0360372,SDGPC,Grass,US-SD,0,Group-1,"Pennington County, South Dakota, United States"
2193,6/24/2020,7/12/2020,8266.20391,Unknown,38.832667,-114.988333,NVECC,Brush,US-NV,18,Group-2,"Lund, White Pine County, Nevada, United States"
2196,6/9/2020,6/11/2020,4,Human,35.72411,-98.38354,ARAOC,Grass-Shrub,US-OK,2,Group-1,"CR N2590, Greenfield, Blaine County, Oklahoma, United States"
2197,9/25/2020,10/1/2020,4,Human,45.7816,-108.0533,MTBDC,Unknown,US-MT,6,Group-1,"I 90;US 87;US 212, Big Horn County, Montana, United States"
2198,8/18/2020,11/16/2020,1255.666809,Natural,33.73342,-109.7097,AZSDC,Unknown,US-AZ,90,Group-5,"Apache County, Arizona, United States"
2199,3/9/2021,3/23/2021,292.44,Unknown,30.98945,-93.12823,LALIC,Unknown,US-LA,14,Group-1,"Vernon Parish, Louisiana, United States"
2200,7/13/2020,8/26/2020,29639.19897,Natural,33.38976,-110.3232,AZPHC,Grass-Shrub,US-AZ,44,Group-3,"Graham County, Arizona, United States"
2204,7/5/2020,7/6/2020,0.599464828,Human,36.45279,-114.8423,NVLIC,Grass-Shrub,US-NV,1,Group-1,"Las Vegas Freeway, Crystal, Clark County, Nevada, United States"
2207,8/18/2020,9/1/2020,1.948388831,Unknown,39.9871,-121.6297,CABTCC,Unknown,US-CA,,,"Carpenter Ridge Road, Butte County, California, United States"
2208,5/8/2020,5/11/2020,303.4,Human,47.57047697,-93.74467364,MNMNCC,Unknown,US-MN,3,Group-1,"Itasca County, Minnesota, United States"
2209,4/18/2020,4/27/2020,234.3,Human,44.06948,-90.11911,WIWIC,Timber,US-WI,9,Group-1,"Speedway Road, Town of Necedah, Juneau County, Wisconsin, United States"
2210,5/4/2020,5/18/2020,1191.26773,Unknown,28.18582056,-81.96352249,FLFIC,Unknown,US-FL,,,"Wildlife Trail, Polk County, Florida, 33809, United States"
2211,3/5/2021,3/22/2021,1,Human,33.13466,-86.17465,ALAIC,Timber,US-AL,17,Group-2,"Rocky Tower Road, Talladega County, Alabama, 35082, United States"
2213,7/19/2020,7/19/2020,4,Human,45.253783,-69.445469,NHNEC,Grass,US-ME,0,Group-1,"319, Steward Road, Monson, Maine, 04464, United States"
2217,8/20/2020,8/28/2020,4,Natural,25.22054,-80.74393,FLFIC,Grass,US-FL,8,Group-1,"Miami-Dade County, Florida, United States"
2224,9/8/2020,9/8/2020,4,Human,45.253783,-69.445469,NHNEC,Timber,US-ME,0,Group-1,"319, Steward Road, Monson, Maine, 04464, United States"
2226,5/2/2020,5/6/2020,0.660528781,Human,39.65255,-116.0337,NVCNC,Brush,US-NV,4,Group-1,"Eureka / Carlin Road, Shannon, Eureka County, Nevada, 89822, United States"
2228,9/15/2020,12/14/2020,4,Human,42.60816,-121.8648,ORLFC,Unknown,US-OR,90,Group-5,"Cattle Drive, Klamath County, Oregon, United States"
2230,8/2/2020,8/4/2020,25,Natural,40.99696,-107.6391,COCRC,Unknown,US-CO,2,Group-1,"County Road 2N, Moffat County, Colorado, 82321, United States"
2233,6/7/2020,6/7/2020,4,Human,34.10528,-118.41745,CALACC,Grass-Shrub,US-CA,0,Group-1,"1862, Franklin Canyon Drive, Franklin Canyon, Beverly Crest, California, 90210, United States"
2234,9/29/2020,10/28/2020,0.1,Human,33.3084,-110.4446,AZPHC,Grass-Shrub,US-AZ,29,Group-2,"Peridot Siding Road, Graham County, Arizona, 85542, United States"
2235,5/26/2020,6/2/2020,0.363944969,Human,35.87122,-115.2163,NVLIC,Grass,US-NV,7,Group-1,"Clark County, Nevada, United States"
2236,9/26/2020,10/10/2020,63.42122762,Unknown,45.912,-108.2988,MTBDC,Unknown,US-MT,,,"North 2nd Road, Huntley, Yellowstone County, Montana, United States"
2238,9/4/2020,9/5/2020,4,Human,46.5407855,-108.3748779,MTRBAC,Grass,US-MT,1,Group-1,"572, North Gage Road, Musselshell County, Montana, 59072, United States"
2242,9/6/2020,9/6/2020,4,Human,45.253783,-69.445469,NHNEC,Brush,US-ME,0,Group-1,"319, Steward Road, Monson, Maine, 04464, United States"
2247,8/16/2020,8/17/2020,1.42,Unknown,39.55786,-119.9207,NVSFC,Unknown,US-NV,1,Group-1,"Verdi-Mogul, Washoe County, Nevada, United States"
2249,11/17/2020,12/1/2020,20385.17401,Unknown,38.51509,-119.4653,NVSFC,Unknown,US-CA,,,"198, Dorsey Lane, Walker, Mono County, California, 96107, United States"
