OBJECTID,Date_Start,Date_Finish,Acres,FireCause,Lat,Long,DispatchCenterID,PredominantFuelGroup,State,Fire_Duration,Fire_Duration_Group,Address,URLAddress,tempmax,tempmin,temp,humidity,precip,windspeed,pressure,visibility,solarradiation,conditions
7496,7/26/2020,7/26/2020,0.15723069,Natural,40.381583,-116.96665,NVCNC,Brush,US-NV,0,Group-1,"Trout Creek Ranch, Lander County, Nevada, United States",Trout%20Creek%20Ranch%2C%20Lander%20County%2C%20Nevada%2C%20United%20States,71.8,52.1,62.7,41.63,0,9.2,1006.8,9.9,456.4,Clear
7497,8/27/2020,9/29/2020,4,Natural,45.38257,-106.223,MTMCC,Slash,US-MT,33,Group-3,"Paget Reservoir Number Four, Paget Creek Road, Powder River County, Montana, United States",Paget%20Reservoir%20Number%20Four%2C%20Paget%20Creek%20Road%2C%20Powder%20River%20County%2C%20Montana%2C%20United%20States,,,,,,,,,,
7498,4/27/2020,5/4/2020,4,Human,47.4383819,-102.9841184,NDNDC,Grass,US-ND,7,Group-1,"Boyscout Camp Road, Dunn County, North Dakota, United States",Boyscout%20Camp%20Road%2C%20Dunn%20County%2C%20North%20Dakota%2C%20United%20States,17.4,8.5,13.3,83.38,0,12.1,1023,8.5,249.7,Partially cloudy
7499,11/23/2020,11/30/2020,4,Human,31.06819,-89.06972,MSMIC,Brush,US-MS,7,Group-1,"Whatley Road, Perry County, Mississippi, United States",Whatley%20Road%2C%20Perry%20County%2C%20Mississippi%2C%20United%20States,80.3,54.8,67.9,78.59,0,16.2,1015.3,7.8,342.2,Partially cloudy
7500,8/30/2020,9/29/2020,140,Natural,45.64716,-106.1398,MTMCC,Grass-Shrub,US-MT,30,Group-3,"Powder River County, Montana, United States",Powder%20River%20County%2C%20Montana%2C%20United%20States,,,,,,,,,,
7501,5/28/2020,5/29/2020,48.16775164,Human,40.2622,-112.0922,UTNUC,Unknown,US-UT,1,Group-1,"17996, West 1610 North, Fairfield, Utah County, Utah, 84013, United States",17996%2C%20West%201610%20North%2C%20Fairfield%2C%20Utah%20County%2C%20Utah%2C%2084013%2C%20United%20States,48.8,35.9,43.3,58.44,0.1,7.4,1013.3,9.9,218.8,"Snow, Partially cloudy"
7502,6/2/2020,6/2/2020,4,Human,45.253783,-69.445469,NHNEC,Grass,US-ME,0,Group-1,"319, Steward Road, Monson, Maine, 04464, United States",319%2C%20Steward%20Road%2C%20Monson%2C%20Maine%2C%2004464%2C%20United%20States,80.4,56.1,68,64.27,0,11.5,1021.2,9.9,439.7,Clear
7503,8/5/2020,8/13/2020,5.32730294,Unknown,45.91518,-105.9105,MTMCC,Grass,US-MT,8,Group-1,"Custer County, Montana, United States",Custer%20County%2C%20Montana%2C%20United%20States,,,,,,,,,,
7504,8/19/2020,10/5/2020,38.53486835,Human,37.39111,-113.4511,UTCDC,Timber,US-UT,47,Group-4,"Washington County, Utah, United States",Washington%20County%2C%20Utah%2C%20United%20States,56.9,29.1,40.9,31.27,0,7.9,1026.5,9.9,129.5,Clear
7505,11/19/2020,12/3/2020,1,Unknown,37.44485,-89.09815,ILILC,Unknown,US-IL,,,"McGinnis Cemetery, 740N, Union County, Illinois, 62912, United States",McGinnis%20Cemetery%2C%20740N%2C%20Union%20County%2C%20Illinois%2C%2062912%2C%20United%20States,34.3,28.8,32.3,90.53,0.07,13.7,999.6,7.7,123.6,"Rain, Partially cloudy"
7506,7/18/2020,10/10/2020,4,Unknown,43.72994,-117.203,ORVAC,Grass-Shrub,US-OR,84,Group-5,"Snively Hot Springs, Owyhee Lake Road, Malheur County, Oregon, United States",Snively%20Hot%20Springs%2C%20Owyhee%20Lake%20Road%2C%20Malheur%20County%2C%20Oregon%2C%20United%20States,45.5,25.6,33.5,78.98,0,4.4,1034.9,9.9,119.2,Clear
7507,11/3/2020,11/7/2020,4,Human,44.03513101,-103.0360372,SDGPC,Grass,US-SD,4,Group-1,"Pennington County, South Dakota, United States",Pennington%20County%2C%20South%20Dakota%2C%20United%20States,44.7,23.2,31.1,46.91,0.25,17.7,1010.4,9.9,159.8,Snow
7508,12/27/2020,1/4/2021,37,Human,33.61444,-111.5369,AZPHC,Grass-Shrub,US-AZ,8,Group-1,"Maricopa County, Arizona, United States",Maricopa%20County%2C%20Arizona%2C%20United%20States,64.6,41.8,52.8,29.36,0,5.5,1019.6,9.8,131.3,Clear
7509,8/19/2020,8/27/2020,655.2736438,Natural,33.6543,-111.5219,AZPHC,Grass-Shrub,US-AZ,8,Group-1,"Beeline Highway, Maricopa County, Arizona, United States",Beeline%20Highway%2C%20Maricopa%20County%2C%20Arizona%2C%20United%20States,109.9,87.7,98.2,26.3,0,15.9,1002,9.9,145.3,Clear
7510,3/13/2020,11/30/2020,200,Human,31.519066,-88.706114,MSMIC,Timber,US-MS,262,Group-5,"Clara Buckatuna Road, Wayne County, Mississippi, 39367, United States",Clara%20Buckatuna%20Road%2C%20Wayne%20County%2C%20Mississippi%2C%2039367%2C%20United%20States,55.2,32.4,43.1,62.51,0,4.2,1027.2,9.9,339.7,Clear
7511,6/3/2020,6/18/2020,0.1,Unknown,43.5471,-119.6652,ORBIC,Grass-Shrub,US-OR,15,Group-2,"Harney County, Oregon, United States",Harney%20County%2C%20Oregon%2C%20United%20States,57.8,43.5,51.4,54.61,0.05,22,1006.3,9.8,309.8,"Rain, Partially cloudy"
7512,10/8/2020,10/18/2020,9.3,Human,33.54541433,-111.45097,AZFDC,Grass-Shrub,US-AZ,10,Group-1,"Apache Trail, Maricopa County, Arizona, United States",Apache%20Trail%2C%20Maricopa%20County%2C%20Arizona%2C%20United%20States,91.2,70.3,80.3,18.97,0,9.8,1013.1,9.9,291.4,Clear
7513,8/5/2020,8/15/2020,4,Natural,43.1136,-121.1038,ORLFC,Grass-Shrub,US-OR,10,Group-1,"Bridge Creek Road, Lake County, Oregon, 97638, United States",Bridge%20Creek%20Road%2C%20Lake%20County%2C%20Oregon%2C%2097638%2C%20United%20States,,,,,,,,,,
7514,3/21/2021,4/8/2021,14,Unknown,26.18656,-81.16476,FLFIC,Timber,US-FL,18,Group-2,"Collier County, Florida, United States",Collier%20County%2C%20Florida%2C%20United%20States,88.2,75.6,81.8,77.24,0,14.4,1016.6,9.1,403.5,Clear
7515,6/10/2020,6/13/2020,0.5,Human,44.08495,-86.43192,MIMIDC,Timber,US-MI,3,Group-1,"5655, West Nurnberg Road, Grant Township, Mason County, Michigan, 49411, United States",5655%2C%20West%20Nurnberg%20Road%2C%20Grant%20Township%2C%20Mason%20County%2C%20Michigan%2C%2049411%2C%20United%20States,78.9,66.6,73,71.86,0,12.8,1011.3,7.7,503,Clear
7516,3/28/2020,4/11/2020,4,Natural,45.85011,-105.916,MTMCC,Grass,US-MT,,,"Custer County, Montana, 59301, United States",Custer%20County%2C%20Montana%2C%2059301%2C%20United%20States,74,46.1,59.7,62.82,0,16.1,1011.3,9.9,401.3,Partially cloudy
7517,6/24/2020,6/26/2020,4,Natural,41.842267,-119.996083,CASIFC,Grass-Shrub,US-NV,2,Group-1,"Washoe County, Nevada, United States",Washoe%20County%2C%20Nevada%2C%20United%20States,,,,,,,,,,
7518,9/23/2020,9/25/2020,4,Human,35.22522,-114.3199,AZPDC,Grass,US-AZ,2,Group-1,"Bullhead City-Kingman Highway, Mohave County, Arizona, United States",Bullhead%20City-Kingman%20Highway%2C%20Mohave%20County%2C%20Arizona%2C%20United%20States,66,42.9,57.5,17.95,0,21.7,1023.5,9.9,250.9,Clear
7519,8/31/2020,9/14/2020,7.17671384,Human,44.09358,-105.3123,WYCPC,Unknown,US-WY,,,"Campbell County, Wyoming, United States",Campbell%20County%2C%20Wyoming%2C%20United%20States,81,45,62.3,39.67,0,12.8,1017.3,9.2,429.6,Clear
7520,8/7/2020,8/17/2020,9.995714,Human,42.56314,-113.5087,IDSCC,Grass-Shrub,US-ID,10,Group-1,"I 84, Cassia County, Idaho, 83323, United States",I%2084%2C%20Cassia%20County%2C%20Idaho%2C%2083323%2C%20United%20States,38,16.1,24.6,74.74,0,17.2,1036.2,9.2,243.8,Partially cloudy
7521,3/9/2021,3/16/2021,15,Human,34.58,-83.32,GAGIC,Timber,US-GA,7,Group-1,"715, East Doyle Street, Toccoa, Stephens County, Georgia, 30577, United States",715%2C%20East%20Doyle%20Street%2C%20Toccoa%2C%20Stephens%20County%2C%20Georgia%2C%2030577%2C%20United%20States,65.3,42.9,56.4,49.48,0,18.8,1013.3,9.9,423.2,Clear
7522,7/17/2020,7/17/2020,3.4,Human,46.30194,-104.2389,MTMCC,Grass,US-MT,0,Group-1,"Fallon County, Montana, 59313, United States",Fallon%20County%2C%20Montana%2C%2059313%2C%20United%20States,90,64.9,75.3,40.01,0,10.2,1009.4,9.6,351.7,Partially cloudy
7523,8/19/2020,9/6/2020,0.1,Natural,34.16988,-111.34,AZPHC,Grass,US-AZ,18,Group-2,"[FR 537] (Old Payson Road), Gila County, Arizona, United States",[FR%20537]%20(Old%20Payson%20Road)%2C%20Gila%20County%2C%20Arizona%2C%20United%20States,75.3,48.3,60.6,33.18,0,12.7,1013.2,9.9,516,Clear
7524,5/8/2020,5/9/2020,4,Human,47.4383819,-102.9841184,NDNDC,Grass,US-ND,1,Group-1,"Boyscout Camp Road, Dunn County, North Dakota, United States",Boyscout%20Camp%20Road%2C%20Dunn%20County%2C%20North%20Dakota%2C%20United%20States,40.4,15,28.2,73.87,0,10.2,1021.7,9.4,193.8,Clear
7525,7/20/2020,7/30/2020,0.61,Human,42.19808,-113.3736,IDSCC,Grass-Shrub,US-ID,10,Group-1,"Cassia County, Idaho, United States",Cassia%20County%2C%20Idaho%2C%20United%20States,37.3,14.8,24.5,75.31,0,15.3,1035.6,9.7,161.2,Clear
7526,8/25/2020,10/1/2020,2,Natural,33.9283,-111.1638,AZPHC,Timber,US-AZ,37,Group-3,"Gila County, Arizona, United States",Gila%20County%2C%20Arizona%2C%20United%20States,78.8,59,67,20.42,0,13.9,,9.9,393.9,Clear
7527,6/6/2020,6/16/2020,1351,Natural,36.13873,-104.2234,NMSFC,Grass,US-NM,10,Group-1,"County Road West, Harding County, New Mexico, United States",County%20Road%20West%2C%20Harding%20County%2C%20New%20Mexico%2C%20United%20States,94.3,72.7,82.6,75.58,0.01,6.4,1014.7,7.7,499.3,Rain
7528,7/10/2020,7/15/2020,4,Human,42.02597,-119.4866,ORLFC,Brush,US-OR,5,Group-1,"Denio-Adel Road, Lake County, Oregon, United States",Denio-Adel%20Road%2C%20Lake%20County%2C%20Oregon%2C%20United%20States,89.1,52.3,72.6,39.54,0,16,1014.1,9.9,370.8,Clear
7529,7/23/2020,8/6/2020,1,Unknown,43.70107,-105.2919,WYCPC,Grass-Shrub,US-WY,,,"Clareton Highway, Campbell County, Wyoming, United States",Clareton%20Highway%2C%20Campbell%20County%2C%20Wyoming%2C%20United%20States,74.2,61.3,67.8,66.05,0.07,12.5,1013,9.7,393.8,"Rain, Partially cloudy"
7530,3/15/2020,4/10/2020,4,Human,31.16682,-89.13673,MSMIC,Brush,US-MS,26,Group-2,"Perry County, Mississippi, United States",Perry%20County%2C%20Mississippi%2C%20United%20States,84.3,56,70.9,70.4,0,12.9,1019.7,9.9,461.7,Clear
7531,2/2/2020,2/6/2020,4,Human,46.55537,-109.9234,MTBDC,Grass,US-MT,4,Group-1,"Wheatland County, Montana, United States",Wheatland%20County%2C%20Montana%2C%20United%20States,45.2,23.7,35.3,59.98,0,26.2,1006.5,9.9,117.2,Partially cloudy
7532,8/19/2020,10/27/2020,2688.961133,Natural,46.5907,-113.7995,MTMDC,Timber,US-MT,69,Group-5,"Granite County, Montana, United States",Granite%20County%2C%20Montana%2C%20United%20States,47.7,27,35.2,94.37,0,6.9,1012.2,6.2,195.5,Partially cloudy
7533,6/14/2020,6/14/2020,0.1,Human,45.88524,-112.458,MTDDC,Timber,US-MT,0,Group-1,"MT 2, Butte, Silver Bow County, Montana, United States",MT%202%2C%20Butte%2C%20Silver%20Bow%20County%2C%20Montana%2C%20United%20States,56,43.1,47.4,81.41,0.52,13.8,1011.1,8.9,176.2,"Snow, Partially cloudy"
7534,7/14/2020,7/15/2020,4,Human,42.87334,-108.2656,WYCDC,Grass-Shrub,US-WY,1,Group-1,"Sand Draw Road, Fremont County, Wyoming, 82501, United States",Sand%20Draw%20Road%2C%20Fremont%20County%2C%20Wyoming%2C%2082501%2C%20United%20States,70.7,43.9,55.8,48.96,0,8.4,1015.9,9.9,482.4,Partially cloudy
7535,11/1/2020,11/1/2020,5,Human,44.03513101,-103.0360372,SDGPC,Grass,US-SD,0,Group-1,"Pennington County, South Dakota, United States",Pennington%20County%2C%20South%20Dakota%2C%20United%20States,44.7,23.2,31.1,46.91,0.25,17.7,1010.4,9.9,159.8,Snow
7536,8/18/2020,9/29/2020,21669.7777,Natural,33.57112,-110.9169,AZPHC,Grass-Shrub,US-AZ,42,Group-3,"Tucker Tank, Old Apache Trail, Gila County, Arizona, United States",Tucker%20Tank%2C%20Old%20Apache%20Trail%2C%20Gila%20County%2C%20Arizona%2C%20United%20States,83.2,29.9,55.4,14.04,0,10.4,1019.7,9.9,471.5,Clear
7537,2/22/2020,3/7/2020,476.3104533,Unknown,36.08382,-92.58659,ARAOC,Unknown,US-AR,,,"Hwy 268, Mull, Marion County, Arkansas, United States",Hwy%20268%2C%20Mull%2C%20Marion%20County%2C%20Arkansas%2C%20United%20States,51.9,38,45.7,44.52,0,18.5,1031.9,9.9,271.1,Clear
7538,9/7/2020,11/16/2020,3997.9889,Human,43.54232,-115.2226,IDBDC,Timber,US-ID,70,Group-5,"Grouse Creek Road, Paradise Hot Springs, Elmore County, Idaho, United States",Grouse%20Creek%20Road%2C%20Paradise%20Hot%20Springs%2C%20Elmore%20County%2C%20Idaho%2C%20United%20States,38.1,13,22.8,74.74,0,6.6,1034.8,9.9,158.7,Clear
7539,5/25/2020,6/8/2020,27,Human,43.04654,-106.2052,WYCPC,Grass-Shrub,US-WY,,,"East Ormsby Road, Natrona County, Wyoming, United States",East%20Ormsby%20Road%2C%20Natrona%20County%2C%20Wyoming%2C%20United%20States,82.1,39.2,62.8,36.77,0,13.6,1020.8,9.9,564.6,Clear
7540,3/14/2020,3/31/2020,5,Human,30.79866,-88.87621,MSMIC,Brush,US-MS,17,Group-2,"Gene Oneal Road, George County, Mississippi, United States",Gene%20Oneal%20Road%2C%20George%20County%2C%20Mississippi%2C%20United%20States,90.6,79.5,85.4,74.95,0,10.8,1015.9,9.8,317.7,Partially cloudy
7541,7/15/2020,7/29/2020,48.5,Human,42.97369,-105.2681,WYCPC,Grass,US-WY,,,"WY 59, Converse County, Wyoming, United States",WY%2059%2C%20Converse%20County%2C%20Wyoming%2C%20United%20States,77,55.1,65.6,67.08,0.57,21.9,1012.9,9.9,263.8,"Rain, Partially cloudy"
7542,1/18/2021,1/19/2021,1.1,Human,31.21257018,-88.46324867,MSMIC,Grass-Shrub,US-MS,1,Group-1,"Greene County, Mississippi, United States",Greene%20County%2C%20Mississippi%2C%20United%20States,67.5,57,63.2,80.78,0.59,6.7,1012.9,8.6,144,"Rain, Overcast"
7543,7/1/2020,7/9/2020,1,Natural,34.69995167,-83.70987378,GAGIC,Timber,US-GA,8,Group-1,"102, Fussen Strasse, Helen, White County, Georgia, 30545, United States",102%2C%20Fussen%20Strasse%2C%20Helen%2C%20White%20County%2C%20Georgia%2C%2030545%2C%20United%20States,85.8,66.6,73.9,85.13,0.84,6.3,1013.4,8.8,287,"Rain, Partially cloudy"
7544,3/7/2021,3/24/2021,4,Human,30.53145,-89.09488,MSMIC,Brush,US-MS,17,Group-2,"Grand Way Boulevard, Wortham, Harrison County, Mississippi, 39574, United States",Grand%20Way%20Boulevard%2C%20Wortham%2C%20Harrison%20County%2C%20Mississippi%2C%2039574%2C%20United%20States,75.2,60.1,66,83.53,1.38,21.4,1012.3,8.4,319.8,"Rain, Partially cloudy"
7545,4/21/2020,4/27/2020,1,Human,45.12079,-107.406,MTBDC,Grass,US-MT,6,Group-1,"Little Horn Road, Big Horn County, Montana, United States",Little%20Horn%20Road%2C%20Big%20Horn%20County%2C%20Montana%2C%20United%20States,76.6,32.5,55.8,37.67,0,7.1,1020.2,9.9,490.2,Clear
7546,8/7/2020,8/12/2020,0.1,Natural,42.71933,-109.9105,WYCPC,Brush,US-WY,5,Group-1,"The Mesa Road, Sublette County, Wyoming, 82923, United States",The%20Mesa%20Road%2C%20Sublette%20County%2C%20Wyoming%2C%2082923%2C%20United%20States,41,0.2,16.1,63.64,0,8.9,1035.4,9.9,138.1,Clear
7547,8/5/2020,9/30/2020,3392.656174,Natural,43.03719,-118.9319,ORBIC,Grass-Shrub,US-OR,56,Group-4,"Harney County, Oregon, United States",Harney%20County%2C%20Oregon%2C%20United%20States,37.7,29,33.4,82.04,0,4.1,1016.8,9.7,140.9,Partially cloudy
7548,8/2/2020,8/10/2020,3.66144561,Human,39.80618,-120.0334,NVSFC,Grass-Shrub,US-CA,8,Group-1,"US 395, Lassen County, California, United States",US%20395%2C%20Lassen%20County%2C%20California%2C%20United%20States,78.9,39.3,60,22.69,0,15,,9.8,266.8,Clear
7549,3/27/2020,9/1/2020,0.10018527,Human,61.6772,-150.166783,AKMSSC,Timber,US-AK,158,Group-5,"Willow, Matanuska-Susitna, Alaska, 99688, United States",Willow%2C%20Matanuska-Susitna%2C%20Alaska%2C%2099688%2C%20United%20States,58.2,31.7,44.3,70,0,4.5,1027,9.9,283.9,Clear
7550,8/2/2020,8/4/2020,4,Human,40.54037,-105.2793,COFTC,Timber,US-CO,2,Group-1,"Buckhorn Road, Larimer County, Colorado, 80837, United States",Buckhorn%20Road%2C%20Larimer%20County%2C%20Colorado%2C%2080837%2C%20United%20States,96.6,59.7,78.3,29.09,0,12.5,1012.2,8.5,423.3,Clear
7551,6/28/2020,7/7/2020,30.95620416,Natural,40.15741,-112.4308,UTNUC,Grass-Shrub,US-UT,9,Group-1,"UT 36, Vernon, Tooele County, Utah, 84080, United States",UT%2036%2C%20Vernon%2C%20Tooele%20County%2C%20Utah%2C%2084080%2C%20United%20States,40.7,21.5,31.6,82.63,0,14.4,1023.7,7.6,92.4,Partially cloudy
7552,8/24/2020,8/24/2020,140.8883513,Natural,36.90074,-113.6927,UTCDC,Grass,US-AZ,0,Group-1,"Mohave County, Arizona, United States",Mohave%20County%2C%20Arizona%2C%20United%20States,69.2,34.1,48.6,28.98,0,10.3,1016.8,9.9,265.3,Clear
7553,7/28/2020,8/17/2020,1,Natural,42.73943,-121.2414,ORLFC,Timber,US-OR,20,Group-2,"Klamath County, Oregon, United States",Klamath%20County%2C%20Oregon%2C%20United%20States,51.2,20.9,31.9,77.07,0,4.7,1028.3,9.5,186.5,Clear
7554,9/21/2020,9/25/2020,4,Natural,40.11313,-107.1885,COCRC,Timber,US-CO,4,Group-1,"Rio Blanco County, Colorado, United States",Rio%20Blanco%20County%2C%20Colorado%2C%20United%20States,63.3,40,54,38.07,0,15.3,1017.1,9.9,362.2,Partially cloudy
7555,7/2/2020,8/10/2020,36.71017762,Natural,30.17894,-84.71732,FLFIC,Grass,US-FL,39,Group-3,"National Forest Road, Liberty County, Florida, United States",National%20Forest%20Road%2C%20Liberty%20County%2C%20Florida%2C%20United%20States,87.7,73.2,79.5,76.19,0,9.6,1011.8,9.8,382.9,Partially cloudy
7556,3/31/2020,4/14/2020,0.34,Human,46.5407855,-108.3748779,MTRBA,Grass-Shrub,US-MT,,,"572, North Gage Road, Musselshell County, Montana, 59072, United States",572%2C%20North%20Gage%20Road%2C%20Musselshell%20County%2C%20Montana%2C%2059072%2C%20United%20States,62.2,45.8,54.5,62.57,0,11,1019.3,9.9,498.7,Partially cloudy
7557,5/10/2020,6/9/2020,70.42396629,Unknown,38.39627,-107.9799,COMTC,Slash,US-CO,30,Group-3,"Montrose County, Colorado, United States",Montrose%20County%2C%20Colorado%2C%20United%20States,78.9,47,64.3,27.37,0,12.6,1012.2,9.9,507.4,Clear
7558,3/22/2020,3/23/2020,4,Human,44.03513101,-103.0360372,SDGPC,Grass,US-SD,1,Group-1,"Pennington County, South Dakota, United States",Pennington%20County%2C%20South%20Dakota%2C%20United%20States,75,47.8,62.4,47.9,0.02,17.5,1007.6,9.9,490.3,"Rain, Partially cloudy"
7559,9/13/2020,9/21/2020,39.18946164,Human,40.36351,-111.7003,UTNUC,Grass,US-UT,8,Group-1,"Battle Creek Trail #050, Pleasant Grove, Utah County, Utah, 84042-1526, United States",Battle%20Creek%20Trail%20#050%2C%20Pleasant%20Grove%2C%20Utah%20County%2C%20Utah%2C%2084042-1526%2C%20United%20States,,,,,,,,,,
7560,6/27/2020,7/22/2020,4,Natural,37.01591,-112.0955,UTCDC,Brush,US-UT,25,Group-2,"Kane County, Utah, United States",Kane%20County%2C%20Utah%2C%20United%20States,103.9,74.9,91.4,8.87,0,8.2,1010.8,9.9,490.2,Clear
7561,10/5/2019,10/19/2019,6,Unknown,35.767622,-83.831521,TNTNC,Timber,US-TN,,,"Country Lane, Oak View, Blount County, Tennessee, 37886, United States",Country%20Lane%2C%20Oak%20View%2C%20Blount%20County%2C%20Tennessee%2C%2037886%2C%20United%20States,87.5,60.1,75,56.31,0,11.4,1013.2,9.9,439.9,Partially cloudy
7562,9/21/2020,9/24/2020,4,Human,44.22723,-103.0499,SDGPC,Grass,US-SD,3,Group-1,"14907, Elk Creek Road, Bend, Meade County, South Dakota, 57719, United States",14907%2C%20Elk%20Creek%20Road%2C%20Bend%2C%20Meade%20County%2C%20South%20Dakota%2C%2057719%2C%20United%20States,77.2,56.3,66.3,29.49,0,23.9,1008.2,9.8,272.6,Partially cloudy
7563,3/8/2020,3/18/2020,2,Human,37.02883,-92.06876,MOMOC,Grass,US-MO,10,Group-1,"County Road 5830, Howell County, Missouri, 65689, United States",County%20Road%205830%2C%20Howell%20County%2C%20Missouri%2C%2065689%2C%20United%20States,83.9,64.9,75,72.4,0,7,1023,9.9,502.6,Clear
7564,8/17/2020,9/11/2020,4,Natural,40.925717,-120.265733,CASIFC,Brush,US-CA,25,Group-2,"Cold Springs Road, Lassen County, California, United States",Cold%20Springs%20Road%2C%20Lassen%20County%2C%20California%2C%20United%20States,80.9,33.2,54.8,36.83,0,5.1,1022.4,5.9,342.6,Clear
7565,8/13/2020,8/17/2020,1,Human,46.5407855,-108.3748779,MTMCC,Grass,US-MT,4,Group-1,"572, North Gage Road, Musselshell County, Montana, 59072, United States",572%2C%20North%20Gage%20Road%2C%20Musselshell%20County%2C%20Montana%2C%2059072%2C%20United%20States,83.2,47.8,64.6,36.73,0,17.8,1013.2,9.9,390,Clear
7566,6/24/2020,6/25/2020,22.41757632,Human,40.3142,-112.006,UTNUC,Unknown,US-UT,1,Group-1,"1982, East Independence Way, Pioneer Addition, Eagle Mountain, Utah County, Utah, 84005, United States",1982%2C%20East%20Independence%20Way%2C%20Pioneer%20Addition%2C%20Eagle%20Mountain%2C%20Utah%20County%2C%20Utah%2C%2084005%2C%20United%20States,41.2,19.6,31,81.67,0,15.1,1023.7,7.2,154.2,Partially cloudy
7567,8/9/2020,8/13/2020,0.18682682,Human,40.2117,-116.6733,NVCNC,Grass,US-NV,4,Group-1,"Cross Valley Haul Road, Lander County, Nevada, United States",Cross%20Valley%20Haul%20Road%2C%20Lander%20County%2C%20Nevada%2C%20United%20States,81.7,65.6,73.2,74.44,0,14.7,1014.2,9.8,446.7,Clear
7568,7/19/2020,9/14/2020,1808.838108,Unknown,39.32455,-113.3765,UTRFC,Brush,US-UT,57,Group-4,"Millard County, Utah, United States",Millard%20County%2C%20Utah%2C%20United%20States,45.8,18.4,32,58.7,0,8.6,1018.2,9.9,195.4,Clear
7569,6/21/2020,6/22/2020,0.14,Human,38.62667,-109.5063,UTMFC,Brush,US-UT,1,Group-1,"UT 128, Moab, Grand County, Utah, 84532, United States",UT%20128%2C%20Moab%2C%20Grand%20County%2C%20Utah%2C%2084532%2C%20United%20States,98.1,62.1,83.3,8.23,0,19.7,1007,9.9,509.5,Clear
7570,8/6/2020,8/15/2020,4,Natural,42.79717,-121.0062,ORLFC,Grass-Shrub,US-OR,9,Group-1,"Lake County, Oregon, United States",Lake%20County%2C%20Oregon%2C%20United%20States,92.9,45,66.9,40.06,0,11.4,1021.3,6.7,389.4,Partially cloudy
7571,4/29/2020,5/1/2020,1.5,Human,47.86235,-108.62055,MTLEC,Timber,US-MT,2,Group-1,"Phillips County, Montana, United States",Phillips%20County%2C%20Montana%2C%20United%20States,,,,,,,,,,
7572,5/15/2020,5/23/2020,4,Human,29.169717,-81.624033,FLFIC,Timber,US-FL,8,Group-1,"55976, Deer Fly Road, Lake County, Florida, 32102, United States",55976%2C%20Deer%20Fly%20Road%2C%20Lake%20County%2C%20Florida%2C%2032102%2C%20United%20States,74.6,58.7,66.6,75,0,9.6,1015.9,9.9,223.2,Partially cloudy
7573,6/17/2020,7/12/2020,59.3,Natural,62.95987,-162.9796,AKGADC,Grass-Shrub,US-AK,25,Group-2,"Unorganized Borough, Alaska, United States",Unorganized%20Borough%2C%20Alaska%2C%20United%20States,88.4,64.3,77.7,64.07,0,11.2,1015.8,9.8,487.7,Partially cloudy
7574,2/29/2020,12/23/2020,4,Human,31.09528,-89.19827,MSMIC,Grass,US-MS,298,Group-5,"Forrest County, Mississippi, United States",Forrest%20County%2C%20Mississippi%2C%20United%20States,69.3,34.9,51.7,53.19,0,6.8,1028.7,9.9,443.3,Clear
7575,3/8/2021,3/25/2021,1,Human,34.847133,-89.312667,MSMIC,Timber,US-MS,17,Group-2,"Cross Road, Benton County, Mississippi, United States",Cross%20Road%2C%20Benton%20County%2C%20Mississippi%2C%20United%20States,73.4,45.7,58.7,72.95,0,3.1,1016.7,9.9,403.6,Clear
7576,6/12/2020,6/26/2020,5.03965332,Human,37.83299,-113.0245,UTCDC,Grass,US-UT,14,Group-1,"Iron County, Utah, United States",Iron%20County%2C%20Utah%2C%20United%20States,26.7,21,24.5,73.71,0.01,14.7,1011.2,9.8,130.7,"Snow, Partially cloudy"
7577,10/16/2020,11/17/2020,54.12660025,Human,36.78843,-112.4143,UTCDC,Grass-Shrub,US-AZ,32,Group-3,"Ryan Road, Coconino County, Arizona, United States",Ryan%20Road%2C%20Coconino%20County%2C%20Arizona%2C%20United%20States,63.4,22.8,40.2,50.8,0,11.4,,9.9,259.3,Clear
7578,4/14/2021,4/14/2021,1,Human,45.253783,-69.445469,NHNEC,Grass,US-ME,0,Group-1,"319, Steward Road, Monson, Maine, 04464, United States",319%2C%20Steward%20Road%2C%20Monson%2C%20Maine%2C%2004464%2C%20United%20States,64.6,38.9,52.5,50.82,0,8.1,1022.4,9.9,523.6,Clear
7579,1/27/2020,5/9/2020,14,Human,38.75326838,-116.5604344,NVECC,Grass-Shrub,US-NV,103,Group-5,"Nye County, Nevada, United States",Nye%20County%2C%20Nevada%2C%20United%20States,92,59,76.2,17.97,0,15,1011.8,9.9,592.3,Clear
7580,3/8/2020,3/22/2020,4,Human,37.93114,-79.57864,VAVIC,Timber,US-VA,,,"1699, Brattons Run, California, Rockbridge County, Virginia, 24439, United States",1699%2C%20Brattons%20Run%2C%20California%2C%20Rockbridge%20County%2C%20Virginia%2C%2024439%2C%20United%20States,81.6,68.6,73.8,75.26,1.03,10.3,,9.1,399.7,"Rain, Partially cloudy"
7581,3/14/2020,3/31/2020,2,Human,30.79866,-88.87595,MSMIC,Brush,US-MS,17,Group-2,"Gene Oneal Road, George County, Mississippi, United States",Gene%20Oneal%20Road%2C%20George%20County%2C%20Mississippi%2C%20United%20States,89.7,79.5,84.7,76.2,0,11.4,1015.7,9.7,417.3,Partially cloudy
